File,Angle,Length, Depth,Layer
data_01,34.2447,5.20802,-156.909,L2
data_01,-66.0032,3.54324,-232.706,L2
data_01,46.7656,67.0851,-189.398,L2
data_01,83.4217,4.40572,-240.669,L2
data_01,-83.3273,7.61229,-252.491,L2
data_01,83.1055,52.2163,-179.505,L2
data_01,79.2671,35.873,-159.464,L2
data_01,-81.0694,19.6356,-213.084,L2
data_01,-35.0515,37.4614,-206.812,L2
data_01,-26.2882,23.6493,-198.286,L2
data_01,84.433,5.08724,-181.297,L2
data_01,66.9654,1.50656,-185.142,L2
data_01,-73.0359,3.7505,-195.973,L2
data_01,-84.1288,4.01515,-229.817,L2
data_01,59.8777,1.86715,-224.457,L2
data_01,-72.2302,14.824,-196.605,L2
data_01,85.7146,4.21077,-229.844,L2
data_01,25.8767,2.15462,-226.208,L2
data_01,61.2285,1.71534,-225.496,L2
data_01,-34.6525,15.5167,-181.557,L2
data_01,-85.6447,10.5734,-176.439,L2
data_01,78.1225,2.51718,-163.549,L2
data_01,-14.707,1.2369,-170.995,L2
data_01,-62.3693,17.115,-225.503,L2
data_01,-62.0804,6.53935,-219.492,L2
data_01,-87.0782,6.22759,-220.527,L2
data_01,-75.6368,5.5625,-200.497,L2
data_01,-75.7242,3.3763,-213.027,L2
data_01,20.3176,2.6045,-209.292,L2
data_01,79.0335,30.0936,-158.644,L2
data_01,-38.1314,12.7673,-192.629,L2
data_01,73.571,5.51868,-165.539,L2
data_01,-2.66408,9.84497,-123.886,L1
data_01,-25.3044,4.75097,-175.404,L2
data_01,-75.1304,4.31339,-185.365,L2
data_01,-86.2041,9.79925,-191.139,L2
data_01,48.7307,31.7337,-158.926,L2
data_01,70.9136,10.1254,-115.085,L1
data_01,-51.195,27.8217,-197.704,L2
data_01,88.0277,15.772,-175.235,L2
data_01,-77.9479,26.8186,-219.981,L2
data_01,-82.1993,4.39886,-198.687,L2
data_01,-82.8478,8.13254,-197.284,L2
data_01,86.9581,30.4297,-158.946,L2
data_01,23.1573,1.01532,-174.892,L2
data_01,-46.8404,22.5773,-197.11,L2
data_01,78.3357,6.9747,-191.042,L2
data_01,-72.4174,9.99551,-212.859,L2
data_01,-52.4105,9.48158,-214.68,L2
data_01,-88.1542,30.4379,-238.695,L2
data_01,-57.6956,38.1712,-224.768,L2
data_01,-85.7379,13.5518,-190.96,L2
data_01,80.4148,37.5002,-126.712,L1
data_01,-40.4252,8.22383,-195.33,L2
data_01,-81.3223,5.04243,-196.192,L2
data_01,-72.9634,1.95298,-200.416,L2
data_01,-63.228,14.7166,-210.059,L2
data_01,40.6414,9.57741,-193.356,L2
data_01,-20.8247,1.26981,-197.648,L2
data_01,-80.2778,17.3907,-204.924,L2
data_01,-79.4479,26.8906,-215.833,L2
data_01,-79.6953,28.7128,-202.983,L2
data_01,-83.3808,5.80136,-191.034,L2
data_01,-81.7693,25.6023,-223.118,L2
data_01,76.2126,28.0753,-157.077,L2
data_01,76.9442,6.36525,-176.857,L2
data_01,-80.3326,1.81482,-184.541,L2
data_01,-61.2046,19.3773,-204.701,L2
data_01,-67.0524,3.39533,-198.899,L2
data_01,-19.9042,1.06841,-196.21,L2
data_01,75.734,8.32769,-182.67,L2
data_01,-26.5212,11.8823,-195.433,L2
data_01,-85.4954,5.1325,-196.644,L2
data_01,66.4234,6.56441,-178.709,L2
data_01,-72.9525,3.82272,-212.598,L2
data_01,-75.4838,4.06321,-206.664,L2
data_01,4.33117,1.50159,-186.027,L2
data_01,83.358,5.24085,-209.51,L2
data_01,81.1304,2.37218,-212.376,L2
data_01,-23.842,13.3047,-209.368,L2
data_01,-65.9541,6.51711,-211.253,L2
data_01,-84.3257,14.9393,-208.652,L2
data_01,77.6819,12.3848,-178.75,L2
data_01,-77.4352,6.38712,-207.636,L2
data_01,-71.7866,17.0049,-257.776,L2
data_01,-86.4678,21.6625,-264.805,L3
data_01,69.8326,6.25736,-213.05,L2
data_01,-25.0515,1.01129,-218.797,L2
data_01,-67.1373,8.44228,-234.545,L2
data_01,-50.3176,1.97907,-228.618,L2
data_01,-47.1301,1.73301,-207.253,L2
data_01,-58.4053,21.0451,-192.037,L2
data_01,-83.256,7.99762,-202.128,L2
data_01,78.2422,16.118,-159.814,L2
data_01,-60.1497,4.90691,-178.402,L2
data_01,12.6257,10.7313,-244.644,L2
data_01,-33.8602,1.39425,-246.875,L2
data_01,9.55484,1.29064,-246.178,L2
data_01,-62.3647,11.1745,-223.928,L2
data_01,-53.453,15.925,-214.797,L2
data_01,-86.6465,6.02126,-210.023,L2
data_01,64.416,1.33858,-203.02,L2
data_01,52.6887,7.08203,-185.334,L2
data_01,-70.936,10.9122,-185.715,L2
data_01,82.6422,2.2887,-174.165,L2
data_01,74.8508,50.8497,-137.721,L2
data_01,-66.2348,5.08345,-194.784,L2
data_01,12.9668,1.28842,-190.308,L2
data_01,85.5255,10.1046,-178.858,L2
data_01,-45.8068,19.2053,-175.894,L2
data_01,81.462,11.2056,-176.096,L2
data_01,-81.9302,34.1525,-220.364,L2
data_01,-59.8363,7.44593,-195.106,L2
data_01,72.7607,10.1878,-165.185,L2
data_01,-31.12,45.4515,-195.971,L2
data_01,71.2038,7.83891,-171.52,L2
data_01,80.7327,3.98656,-169.725,L2
data_01,-23.5534,7.98072,-171.902,L2
data_01,68.1939,1.92964,-168.03,L2
data_01,72.5906,9.62268,-175.567,L2
data_01,53.9915,3.6218,-187.876,L2
data_01,-84.4336,4.31115,-199.448,L2
data_01,75.9097,2.98204,-192.435,L2
data_01,-74.0254,6.75034,-190.52,L2
data_01,57.7905,1.61703,-176.803,L2
data_01,-75.7167,36.3664,-224.904,L2
data_01,-87.0604,9.2901,-200.029,L2
data_01,56.6258,22.6164,-179.06,L2
data_01,-81.0682,9.55713,-202.478,L2
data_01,49.6993,7.63224,-187.124,L2
data_01,-81.3599,20.2447,-210.593,L2
data_01,63.5653,24.2106,-150.355,L2
data_01,78.4855,17.9643,-151.757,L2
data_01,69.6062,10.5266,-169.24,L2
data_01,-70.5363,21.1513,-196.757,L2
data_01,1.48838,19.4151,-203.691,L2
data_01,81.8314,29.8734,-176.226,L2
data_01,-85.9782,12.0295,-234.464,L2
data_01,-86.7878,1.41853,-223.964,L2
data_01,41.7822,32.4468,-183.915,L2
data_01,-53.0766,9.39699,-206.261,L2
data_01,85.8726,4.09169,-160.809,L2
data_01,87.2227,2.79702,-165.069,L2
data_01,-80.8073,8.05467,-175.689,L2
data_01,82.1462,14.4738,-157.151,L2
data_01,-81.5632,2.25786,-173.506,L2
data_01,76.4184,1.56608,-163.429,L2
data_01,-67.9682,2.47924,-169.944,L2
data_01,-57.2041,1.15252,-178.292,L2
data_01,-67.5003,2.24782,-191.61,L2
data_01,-77.0346,15.7708,-204.152,L2
data_01,23.9729,13.2192,-197.218,L2
data_01,-47.0812,5.26582,-203.537,L2
data_01,82.3793,6.62311,-172.731,L2
data_01,-40.6843,3.36384,-180.966,L2
data_01,-85.0432,9.6265,-188.763,L2
data_01,-29.2163,1.08132,-199.856,L2
data_01,67.8024,11.8936,-161.289,L2
data_01,-84.9325,14.0696,-185.464,L2
data_01,-84.3168,29.9243,-197.153,L2
data_01,-64.6449,15.3739,-180.378,L2
data_01,29.7447,12.8075,-162.39,L2
data_01,76.5569,8.80075,-158.326,L2
data_01,52.2637,16.7639,-201.522,L2
data_01,-69.216,11.2136,-221.995,L2
data_01,-31.5902,17.8616,-168.964,L2
data_01,-73.6252,11.505,-173.211,L2
data_01,-84.7201,30.6271,-187.29,L2
data_01,-82.6833,8.35461,-165.26,L2
data_01,68.5914,2.00225,-188.688,L2
data_01,44.6498,1.41615,-189.522,L2
data_01,-78.75,1.01466,-194.457,L2
data_01,50.7841,8.84419,-174.725,L2
data_01,-74.1689,1.87341,-182.173,L2
data_01,-32.8415,2.32935,-188.895,L2
data_01,11.1816,1.15228,-195.342,L2
data_01,80.8964,35.6674,-149.217,L2
data_01,85.3303,11.3507,-187.29,L2
data_01,-61.8662,12.1847,-207.416,L2
data_01,63.5437,2.3685,-176.042,L2
data_01,-55.2921,8.71977,-182.469,L2
data_01,79.6449,10.3066,-167.223,L2
data_01,36.0248,8.61824,-154.778,L2
data_01,-74.3779,7.29414,-165.437,L2
data_01,-40.1746,1.49464,-153.196,L2
data_01,-80.0691,12.3022,-131.341,L1
data_01,-83.7345,18.2653,-154.454,L2
data_01,74.8648,5.41666,-131.483,L1
data_01,-67.8154,5.95783,-212.495,L2
data_01,-19.496,2.81509,-208.051,L2
data_01,18.3312,1.88949,-188.621,L2
data_01,-80.7272,8.34904,-187.692,L2
data_01,-86.3596,10.782,-206.536,L2
data_01,84.4261,1.80427,-194.041,L2
data_01,-72.239,14.9836,-203.159,L2
data_01,62.4526,3.29455,-178.985,L2
data_01,-86.8689,7.00174,-188.333,L2
data_01,61.7668,8.76696,-152.291,L2
data_01,-82.1587,3.48487,-162.674,L2
data_01,-24.42,2.72812,-222.694,L2
data_01,-69.5797,2.33941,-224.079,L2
data_01,-46.4876,1.75033,-193.945,L2
data_01,85.4196,4.59024,-173.601,L2
data_01,-41.3817,1.50793,-178.959,L2
data_01,72.3302,31.4831,-158.124,L2
data_01,45.7263,3.57411,-190.78,L2
data_01,-70.1136,19.3592,-211.921,L2
data_01,2.97671,10.661,-191.476,L2
data_01,-65.3764,1.67917,-193.127,L2
data_01,-38.5344,1.05747,-189.5,L2
data_01,59.6262,26.8587,-144.579,L2
data_01,-80.8571,6.17889,-188.133,L2
data_01,-5.53875,1.03385,-182.203,L2
data_01,74.9979,15.7233,-150.092,L2
data_01,80.9565,6.2019,-158.687,L2
data_01,-77.5291,2.81036,-180.736,L2
data_01,-71.3246,40.7485,-213.098,L2
data_01,-73.5135,19.0868,-196.238,L2
data_01,-53.501,4.76775,-183.475,L2
data_01,-12.7603,5.15323,-181.147,L2
data_01,-23.3065,1.79045,-187.222,L2
data_01,-69.933,12.439,-211.507,L2
data_01,-72.4214,13.1468,-212.606,L2
data_01,62.2097,15.727,-200.264,L2
data_01,-77.1875,6.12245,-217.975,L2
data_01,-41.0387,6.14558,-215.456,L2
data_01,81.7845,18.6475,-150.058,L2
data_01,-75.2372,25.5442,-211.686,L2
data_01,83.1135,3.6966,-184.654,L2
data_01,64.9783,22.6638,-171.648,L2
data_01,-78.6616,13.8555,-202.482,L2
